# Params: -a -s1 -t3000
# Area per process: 10000000
# Livings per process: 2000
# Food per process: 2000
# !!Actual number of nodes used was always 1!!

# SimulatedNodes Run Runtime
1 3 58916
1 1 58710
2 1 160121
4 1 336064
5 1 446415
6 1 560609
6 2 560400
7 1 639109
8 3 773944
9 1 837455
10 1 939862
12 3 1155170
13 1 1282327
13 3 1286753
13 2 1288474
14 3 1313073
8 1 773483
15 1 1493893
16 1 1532559
17 1 1722223
17 2 1726212
5 3 449091
18 1 1822177
4 2 337355
2 2 157592
19 2 1959303
19 1 1962090
20 1 2007120
20 2 2013550
1 2 58795
20 3 1961900
22 1 2175494
3 1 234676
11 1 1055894
23 3 2311301
9 3 837710
24 1 2431008
25 1 2542495
25 2 2546704
18 2 1820093
14 1 1319192
26 1 2682502
10 2 942785
27 3 2835853
6 3 558042
12 1 1157977
30 1 3004315
7 2 635459
23 2 2313141
3 3 235909
31 3 3200289
31 1 3197203
22 2 2175882
16 3 1533794
33 2 3590009
26 2 2680447
30 3 3099839
34 1 3671279
34 3 3680792
24 3 2436810
35 1 3771520
35 3 3787891
11 3 1056268
36 2 3834035
16 2 1537522
5 2 447892
19 3 1968107
24 2 2433098
34 2 3685970
8 2 772149
40 3 4407104
7 3 637258
4 3 335055
26 3 2664848
39 3 4279085
28 2 2906236
3 2 235176
15 2 1497338
40 1 4405463
33 1 3588711
15 3 1496366
14 2 1314411
2 3 160060
9 2 835269
22 3 2176606
30 2 3101456
12 2 1155011
17 3 1720602
10 3 942615
23 1 2306503
11 2 1061969
31 2 3204070
32 3 3408629
25 3 2544570
27 1 2843995
21 2 2092620
21 1 2082122
32 1 3415717
27 2 2828331
38 2 4093971
38 3 4099210
18 3 1823951
35 2 3764030
29 3 2995854
28 1 2922445
21 3 2084302
38 1 4108318
37 2 4034181
29 2 2997346
40 2 4419547
32 2 3408504
28 3 2905345
39 1 4262489
39 2 4291179
29 1 3004439
37 3 4030779
36 3 3845743
33 3 3586427
36 1 3854545
37 1 4039898
