# Params: -a -s1 -t3000
# Area per process: 10000000

# Livings per process: 2000

# Food per process: 2000

# Runs: 3
# Nodes: 40

# Nodes AverageRuntime
1 58807
2 159258
3 235254
4 336158
5 447799
6 559684
7 637275
8 773192
9 836811
10 941754
11 1.05804e+06
12 1.15605e+06
13 1.28585e+06
14 1.31556e+06
15 1.49587e+06
16 1534625
17 1.72301e+06
18 1.82207e+06
19 1.96317e+06
20 1994190
21 2086348
22 2175994
23 2310315
24 2.43364e+06
25 2.54459e+06
26 2.67593e+06
27 2.83606e+06
28 2911342
29 2999213
30 3.06854e+06
31 3.20052e+06
32 3410950
33 3.58838e+06
34 3679347
35 3.77448e+06
36 3.84477e+06
37 4.03495e+06
38 4.1005e+06
39 4.27758e+06
40 4.4107e+06
