# Params: -a -s1 -w10000 -h10000 -e20000,20000 -t3000

# Nodes Run Runtime
1 1 940920
2 1 472480
3 1 301807
4 1 215106
5 1 215338
6 1 138948
7 1 136464
8 1 101867
9 1 103019
10 1 98862
11 1 93001
12 1 69197
13 1 66535
14 1 65074
15 1 59326
16 1 50984
17 1 51455
18 1 51471
19 1 45205
20 1 45103
21 1 42756
22 1 42632
23 1 41926
24 1 33547
25 1 33547
26 1 33567
27 1 34821
28 1 34930
29 1 33754
30 1 34006
31 1 31610
32 1 30487
33 1 28994
34 1 29134
35 1 31067
36 1 31053
37 1 30859
38 1 30723
39 1 30546
40 1 30744
1 2 910230
2 2 471243
3 2 302715
4 2 214999
5 2 214249
6 2 138953
7 2 136913
8 2 101560
9 2 103007
10 2 98997
11 2 92857
12 2 69354
13 2 66779
14 2 65406
15 2 59094
16 2 50820
17 2 51483
18 2 51383
19 2 47081
20 2 46187
21 2 42606
22 2 42835
23 2 41940
24 2 33624
25 2 32854
26 2 32832
27 2 34909
28 2 35132
29 2 33807
30 2 33781
31 2 31436
32 2 30392
33 2 28954
34 2 28705
35 2 29132
36 2 29246
37 2 31197
38 2 30550
39 2 31340
40 2 30710
1 3 910940
2 3 471950
3 3 303070
4 3 214930
5 3 215308
6 3 139392
7 3 136559
8 3 101570
9 3 103252
10 3 98976
11 3 92742
12 3 69265
13 3 66800
14 3 64868
15 3 58999
16 3 51091
17 3 51392
18 3 51219
19 3 47508
20 3 46374
21 3 42668
22 3 42935
23 3 41625
24 3 33546
25 3 33632
26 3 34044
27 3 34662
28 3 34819
29 3 33441
30 3 33472
31 3 31657
32 3 30148
33 3 29775
34 3 29571
35 3 29280
36 3 30747
37 3 30876
38 3 29246
39 3 29181
40 3 29368
