# Params: -a -s1 -w10000 -h10000 -e20000,20000 -t3000
# Runs: 3
# Nodes: 40

# Nodes AverageRuntime
1 920697
2 471891
3 302531
4 215012
5 214965
6 139098
7 136645
8 101666
9 103093
10 98945
11 92866.7
12 69272
13 66704.7
14 65116
15 59139.7
16 50965
17 51443.3
18 51357.7
19 46598
20 45888
21 42676.7
22 42800.7
23 41830.3
24 33572.3
25 33344.3
26 33481
27 34797.3
28 34960.3
29 33667.3
30 33753
31 31567.7
32 30342.3
33 29241
34 29136.7
35 29826.3
36 30348.7
37 30977.3
38 30173
39 30355.7
40 30274
