# Params: -a -s1 -t3000
# Area per process: 10000000
# Livings per process: 2000
# Food per process: 2000

# Nodes Run Runtime
1 1 58687
2 1 84085
3 1 68090
4 1 70537
5 1 93946
6 1 85383
7 1 86667
8 1 79911
9 1 86590
10 1 98664
11 1 109296
12 1 77915
13 1 88304
14 1 88620
15 1 101988
16 1 76907
17 1 88162
18 1 93465
19 1 97752
20 1 116809
21 1 103330
22 1 104874
23 1 107622
24 1 84774
25 1 87810
26 1 91979
27 1 107059
28 1 103836
29 1 101065
30 1 103808
31 1 103642
32 1 89961
33 1 102100
34 1 91742
35 1 96499
36 1 97074
37 1 105148
38 1 102381
39 1 106658
40 1 115000
1 2 58370
2 2 84356
3 2 68023
4 2 71161
5 2 88601
6 2 85207
7 2 86494
8 2 80338
9 2 86041
10 2 99047
11 2 109390
12 2 77715
13 2 88918
14 2 88939
15 2 101779
16 2 77419
17 2 88828
18 2 93040
19 2 98122
20 2 116725
21 2 103303
22 2 104564
23 2 108096
24 2 84122
25 2 87619
26 2 91834
27 2 107126
28 2 104268
29 2 101075
30 2 104424
31 2 103340
32 2 90019
33 2 103312
34 2 92199
35 2 96894
36 2 97140
37 2 105272
38 2 102343
39 2 106787
40 2 115094
1 3 58525
2 3 84422
3 3 70479
4 3 71260
5 3 94338
6 3 84923
7 3 86686
8 3 80211
9 3 86276
10 3 98999
11 3 108899
12 3 77962
13 3 88540
14 3 88284
15 3 101507
16 3 77124
17 3 87924
18 3 93199
19 3 98330
20 3 116579
21 3 102651
22 3 105372
23 3 108044
24 3 84265
25 3 87582
26 3 91878
27 3 106827
28 3 103537
29 3 101052
30 3 104067
31 3 103451
32 3 90010
33 3 102327
34 3 92461
35 3 96697
36 3 94997
37 3 103237
38 3 102457
39 3 105173
40 3 115511
