# Params: -a -s1 -t3000
# Area per process: 10000000

# Livings per process: 2000

# Food per process: 2000

# Runs: 3
# Nodes: 40

# Nodes AverageRuntime
1 58527.3
2 84287.7
3 68864
4 70986
5 92295
6 85171
7 86615.7
8 80153.3
9 86302.3
10 98903.3
11 109195
12 77864
13 88587.3
14 88614.3
15 101758
16 77150
17 88304.7
18 93234.7
19 98068
20 116704
21 103095
22 104937
23 107921
24 84387
25 87670.3
26 91897
27 107004
28 103880
29 101064
30 104100
31 103478
32 89996.7
33 102580
34 92134
35 96696.7
36 96403.7
37 104552
38 102394
39 106206
40 115202
