sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,8,0,51,-1,-1,56
10,2411,2499,6,39,49,-1,-1,49
20,2364,1600,1,21,27,-1,-1,27
30,2388,1020,2,13,17,-1,-1,17
40,2406,813,2,9,12,-1,-1,13
50,2446,667,1,8,10,-1,-1,11
60,2496,651,1,8,31,-1,-1,31
70,2520,992,2,13,16,-1,-1,16
80,2559,803,2,10,13,-1,-1,13
90,2610,712,2,9,12,-1,-1,12
100,2642,666,4,8,64,-1,-1,65
110,2693,634,1,8,10,-1,-1,11
120,2760,628,1,8,33,-1,-1,33
130,2794,1036,1,14,18,-1,-1,18
140,2868,817,2,11,13,-1,-1,14
150,2901,739,2,9,13,-1,-1,13
160,2962,686,2,9,12,-1,-1,12
170,3025,651,1,9,11,-1,-1,11
180,3071,633,2,9,34,-1,-1,34
190,3089,1062,1,16,19,-1,-1,20
200,3129,871,4,13,72,-1,-1,72
210,3179,783,2,10,14,-1,-1,14
220,3194,714,2,10,13,-1,-1,13
230,3236,684,1,9,13,-1,-1,13
240,3312,672,1,10,36,-1,-1,36
250,3334,1135,2,17,21,-1,-1,22
260,3391,916,2,13,18,-1,-1,19
270,3406,831,2,12,16,-1,-1,16
280,3420,785,2,12,15,-1,-1,15
290,3440,760,2,11,15,-1,-1,15
300,3443,743,3,11,92,-1,-1,92
310,3444,1240,2,19,24,-1,-1,24
320,3471,1015,2,15,19,-1,-1,19
330,3501,920,2,13,18,-1,-1,19
340,3514,859,2,12,17,-1,-1,17
350,3523,821,3,12,16,-1,-1,16
360,3514,802,2,12,43,-1,-1,43
370,3479,1356,2,22,27,-1,-1,27
380,3497,1130,2,18,23,-1,-1,23
390,3515,1008,2,15,20,-1,-1,21
400,3524,934,6,14,74,-1,-1,74
410,3544,905,2,14,17,-1,-1,18
420,3590,883,2,13,47,-1,-1,48
430,3567,1484,3,24,30,-1,-1,30
440,3562,1231,4,19,25,-1,-1,26
450,3581,1106,4,17,23,-1,-1,24
460,3573,1031,3,16,22,-1,-1,22
470,3602,982,4,15,20,-1,-1,20
480,3623,957,3,15,51,-1,-1,51
490,3572,1593,2,28,32,-1,-1,33
500,3523,1335,3,22,78,-1,-1,78
