sep=,
Turn,Food,Livings,MPI,Think,Tick,Render,Delay,Overall
0,0,0,32,0,34,132,0,176
10,108,94,12,3,15,21,0,37
20,117,55,2,2,4,14,0,20
30,123,30,5,1,6,10,0,21
40,131,20,2,1,4,9,0,14
50,137,17,5,1,6,10,0,18
60,140,21,4,1,7,16,0,24
70,148,35,1,2,3,13,0,16
80,160,27,3,1,4,12,0,16
90,164,26,6,1,7,11,0,19
100,165,22,1,1,5,11,0,16
110,164,22,3,1,4,11,0,16
120,164,22,4,0,7,16,0,25
130,169,36,1,1,3,13,0,17
140,169,32,2,1,4,12,0,16
150,178,30,1,1,2,12,0,17
160,177,27,1,1,2,11,0,16
170,179,24,2,0,2,11,0,17
180,189,25,1,1,4,18,0,24
190,194,39,1,1,3,15,0,20
200,204,32,1,1,6,13,0,21
210,202,29,1,1,2,12,0,18
220,206,25,2,1,3,11,0,18
230,213,24,2,0,2,12,0,19
240,223,25,1,1,4,17,0,26
250,229,35,2,1,3,14,0,23
260,239,29,2,1,4,12,0,20
270,252,26,3,1,5,12,0,20
280,256,21,2,1,3,12,0,20
290,258,19,1,1,2,13,0,21
300,266,20,2,1,9,17,0,30
310,275,33,2,1,3,13,0,22
320,272,26,1,1,2,13,0,23
330,271,21,1,1,2,13,0,23
340,275,19,2,1,3,12,0,23
350,277,24,4,0,5,12,0,23
360,282,22,3,1,5,17,0,29
370,289,34,9,1,10,14,0,25
380,294,26,6,1,7,13,0,23
390,293,24,2,1,3,13,0,24
400,292,23,2,0,7,13,0,27
410,296,22,2,1,3,13,0,22
420,291,22,3,1,6,19,0,31
430,298,35,4,2,6,16,0,27
440,294,30,5,1,6,16,0,26
450,294,26,2,1,3,14,0,23
460,292,27,2,1,3,13,0,22
470,296,27,1,1,3,13,0,23
480,293,26,4,1,8,21,0,34
490,296,45,2,1,4,17,0,26
500,298,29,2,1,7,14,0,26
510,305,26,7,1,8,14,0,23
520,300,25,8,0,8,13,0,25
